tradeId,triggerTime,side,outcome,rMultiple,leg2MomentumRatio,roomToStructureR,leg2Retracement,barsHeld
1,2021-05-12 11:30,Short,TwoR,2,0.4083,1.0072,0.2361,7
2,2021-08-02 13:00,Short,Timeout,-0.1052,0.4655,1.0378,0.5690,26
3,2022-02-16 11:00,Short,Stop,-1,0.3511,1.0790,0.5426,3
4,2022-05-05 11:50,Short,TwoR,2,0.4717,1.2302,0.3208,2
5,2022-08-22 11:30,Short,Stop,-1,0.2303,1.8900,0.5636,3
6,2022-09-02 10:15,Long,TwoR,2,0.5256,2.0051,0.5472,5
7,2022-10-07 11:10,Short,TwoR,2,0.5652,1.0237,0.3130,16
8,2022-11-03 10:40,Short,Stop,-1,0.2823,1.3638,0.3506,3
9,2023-01-11 10:50,Long,Stop,-1,0.1789,1.2142,0.3659,2
10,2023-05-23 15:10,Short,Stop,-1,0.2778,1.1238,0.4815,2
11,2023-06-28 12:15,Long,Stop,-1,0.5556,999,0.2407,4
12,2023-10-19 11:25,Short,Stop,-1,0.5058,999,0.2442,2
13,2023-12-21 11:55,Short,TwoR,2,0.2069,1.0094,0.4483,3
14,2024-01-03 11:20,Short,Stop,-1,0.3438,1.7336,0.2813,1
15,2024-04-01 11:15,Short,TwoR,2,0.3750,999,0.2708,10
16,2024-06-06 10:50,Long,Stop,-1,0.1541,1.0969,0.3514,2
17,2024-08-02 10:45,Short,Stop,-1,0.4882,999,0.2925,3
18,2024-11-21 12:20,Long,TwoR,2,0.5212,1.1996,0.2458,6
19,2024-11-26 10:30,Long,Stop,-1,0.3342,1.0788,0.4752,1
20,2024-12-23 10:50,Short,Stop,-1,0.4477,1.2790,0.2442,6
21,2025-02-21 11:50,Short,TwoR,2,0.3594,1.0666,0.5278,11
22,2025-05-22 11:20,Short,Stop,-1,0.3824,1.0701,0.4353,3
23,2025-06-26 11:20,Long,Stop,-1,0.4565,999,0.2609,3
24,2025-07-29 14:55,Short,TwoR,2,0.1636,1.0249,0.6000,10
25,2025-08-19 14:05,Short,Timeout,1.3536,0.5540,1.3536,0.5122,23
26,2025-09-17 13:25,Short,Stop,-1,0.6000,1.2029,0.6154,3
27,2026-03-18 11:20,Short,TwoR,2,0.3831,2.1766,0.3871,17
