"variant","mode","netR","monthlyR","avgR","trades","tradesPerMonth","stops","timeouts","touch1R","backtestId"
"tight_dynamic_1p25","Camarilla","106.03","1.77","0.1","1046","17.4","540","93","551","f3efc5627bf8821cf9b7600f2c3deed4"
"atr_dynamic_1p0","Camarilla","97.81","1.63","0.09","1046","17.4","557","64","553","c36ac4aedca0b6e9158a4b5bcb9215f7"
"raw_dynamic","Camarilla","95.54","1.59","0.09","1041","17.4","349","450","388","2e739ccd3392644643c2898090fc519a"
"atr_dynamic_1p25","Camarilla","90.54","1.51","0.09","1045","17.4","532","123","533","89453fc723de0a377111b568f66f85fe"
"raw_fade_short_15r","Camarilla","70.25","1.17","0.13","542","9","168","237","221","40e2fb3c6eddba8ba699b6b37b634fa8"
"raw_fade_1r","Camarilla","66.44","1.11","0.08","829","13.8","220","333","276","73ad44b77f8ff98d0b1695cdf937af3d"
"raw_fade_short_multi","Camarilla","58.67","0.98","0.08","750","12.5","183","298","270","5dbcf2b565831b10fdc1af72ac511796"
"atr_fade_short_1p25","Camarilla","31.96","0.53","0.06","544","9.1","299","28","269","4538745ab4a8c929f533f1f8a28d0f59"
"dynamic_base","Camarilla","2.92","0.05","0.02","118","2","56","25","51","80c52c1ad095b1bd41e6bc4bc0892376"
"fade_1r","Camarilla","1.98","0.03","0.02","93","1.6","40","10","43","49a6df5788879ecbab2e9c57b7f5ecb2"
"dynamic_loose","Camarilla","0.72","0.01","0.01","113","1.9","54","26","49","0dce1135f2044a0e7a1dc781229faa5c"
"breakout_15r","Camarilla","-1.4","-0.02","-0.01","98","1.6","48","21","39","47976d94ba74c357b255e42f4943c55b"
"fade_15r","Camarilla","-6.15","-0.1","-0.07","93","1.6","49","17","44","9a177088a6504e37a5e726e2cc3901ea"
"breakout_2r","Camarilla","-6.85","-0.11","-0.07","98","1.6","54","22","44","2d2e3a3fbcd97520a06307b012f0576e"
"atr_fade_1p0_1r","Camarilla","-11.99","-0.2","-0.01","831","13.8","416","10","409","0f47ddaba9f96a5eb00d68c01b390385"
