"Variant","NetR","RPerMonth","AvgR","Trades","TradesPerMonth","Armed","Stops","Timeouts","Touch1R","Url"
"silverbullet_am_short_pd_2r","24.88","0.41","0.14","181","3","688","103","17","121","https://www.quantconnect.com/project/30609547/9d67e6a041772d820e672391acf7d735"
"silverbullet_am_short_pd_15r_disp1","23.92","0.4","0.3","80","1.3","309","35","8","52","https://www.quantconnect.com/project/30609547/9c8e71f24d88c3467518cb6882cfbdc5"
"silverbullet_am_short_pd_15r_disp075","21.9","0.36","0.18","120","2","478","59","10","82","https://www.quantconnect.com/project/30609547/67707b9e82c4b76ae118b1b900aa4f37"
"silverbullet_am_short_pd_1r","21.78","0.36","0.12","181","3","688","78","3","121","https://www.quantconnect.com/project/30609547/68dba491623bcf24e84ffb0944dfd7bd"
"silverbullet_am_short_pd_125r","17.41","0.29","0.1","181","3","688","89","6","121","https://www.quantconnect.com/project/30609547/39bb2f3a39df084f24015990333602e5"
"silverbullet_am_short_pd_15r","15.29","0.25","0.08","181","3","688","96","12","121","https://www.quantconnect.com/project/30609547/f4ab8634c6f96d979da039afc49bc8d4"
"silverbullet_am_short_orpd_125r","3.1","0.05","0.01","281","4.7","1081","150","10","172","https://www.quantconnect.com/project/30609547/7978ebbe37d47c2c75aad18181883f80"
"silverbullet_am_short_orpd_15r","2.94","0.05","0.01","281","4.7","1081","160","14","172","https://www.quantconnect.com/project/30609547/d0d2bc829dbc9d3ebbf11022df8d71e6"
"silverbullet_am_short_orpd_1r","-9.41","-0.16","-0.03","285","4.8","1115","144","6","170","https://www.quantconnect.com/project/30609547/b297e2c6e127c20d1f3a62361a95a680"
"silverbullet_am_2r","-15.77","-0.26","-0.03","522","8.7","1018","329","50","313","https://www.quantconnect.com/project/30609547/f0bcda076ac9bae4fa5488cf106321fd"
"silverbullet_am_short_or_15r","-18.97","-0.32","-0.07","253","4.2","1060","154","11","151","https://www.quantconnect.com/project/30609547/d4c43253dc8c385e2fb617803351be13"
"silverbullet_am_15r","-22.67","-0.38","-0.04","522","8.7","1018","307","31","313","https://www.quantconnect.com/project/30609547/e7a755e1e7337a5adff4688d24979962"
"ict2022_13_1430_short_1r","-27.5","-0.46","-0.06","436","7.3","1583","230","3","272","https://www.quantconnect.com/project/30609547/3d24212110269a1189760c32e6297191"
"ict2022_13_1430_short_15r","-38.06","-0.63","-0.09","436","7.3","1583","273","6","272","https://www.quantconnect.com/project/30609547/fa422dc22055dc8bed8b6b5a57406621"
"judas_open_15r","-38.2","-0.64","-0.07","522","8.7","987","317","24","327","https://www.quantconnect.com/project/30609547/fb6556cd8d29d2596fbb36741b3d142d"
"silverbullet_pm_2r","-43.52","-0.73","-0.08","558","9.3","1026","364","42","334","https://www.quantconnect.com/project/30609547/83204b280125f70f1b404259081b9497"
"judas_open_2r","-48.83","-0.81","-0.09","522","8.7","987","344","41","327","https://www.quantconnect.com/project/30609547/e55016e2bbbcfc0b23a0bb270838fcb4"
"silverbullet_pm_15r","-55.25","-0.92","-0.1","558","9.3","1026","342","28","334","https://www.quantconnect.com/project/30609547/78c3259792fbadd88bb74e9fd1136db5"
"ict2022_rth_15r","-168.76","-2.81","-0.14","1225","20.4","2143","787","30","723","https://www.quantconnect.com/project/30609547/85f4529af59b59108d0dca81f3daa758"
"ict2022_rth_2r","-187.05","-3.12","-0.15","1225","20.4","2143","849","53","723","https://www.quantconnect.com/project/30609547/441d43fceb1e2f4f039804c346a350d0"
