"Variant","Period","NetR","AvgR","Trades","Wins","Stops","Timeouts","Touch1R","Url","File"
"ICT 2022 RTH 1.5R","20250423_20250623","0.83","0.02","42","17","24","1","22","https://www.quantconnect.com/project/30609547/73bbf1f926dea65bb8a95ca0e263c8ac","ictseq_2022_rth_15r_20250423_20250623.txt"
"ICT 2022 RTH 1.5R","20250623_20250823","-4.5","-0.11","42","15","27","0","17","https://www.quantconnect.com/project/30609547/cdfe60be1c9d7738b575713b1a28767f","ictseq_2022_rth_15r_20250623_20250823.txt"
"ICT 2022 RTH 1.5R","20250823_20251023","-10.5","-0.24","43","13","30","0","16","https://www.quantconnect.com/project/30609547/95effbf40b585134ef870835692b1c57","ictseq_2022_rth_15r_20250823_20251023.txt"
"ICT 2022 RTH 1.5R","20251023_20251223","-11.92","-0.29","41","11","29","1","16","https://www.quantconnect.com/project/30609547/a78f6533edc2b315fc121b66467676da","ictseq_2022_rth_15r_20251023_20251223.txt"
"ICT 2022 RTH 1.5R","20251223_20260223","-21","-0.51","41","8","33","0","11","https://www.quantconnect.com/project/30609547/c29fbe147748d32eed23f45ca9ac0ed3","ictseq_2022_rth_15r_20251223_20260223.txt"
"ICT 2022 RTH 1.5R","20260223_20260423","-9.5","-0.23","42","13","29","0","17","https://www.quantconnect.com/project/30609547/5a1e3c60ab595447ce75edf82b6ed06c","ictseq_2022_rth_15r_20260223_20260423.txt"
"PDH short 2R","20250423_20250623","3","0.5","6","3","3","0","3","https://www.quantconnect.com/project/30609547/ded2db0342bfb44984e0cc580c2de78a","ictseq_pdh_2r_20250423_20250623.txt"
"PDH short 2R","20250623_20250823","1","0.13","8","3","5","0","3","https://www.quantconnect.com/project/30609547/bb303aaf9a2b78259f65cb768a5d92ef","ictseq_pdh_2r_20250623_20250823.txt"
"PDH short 2R","20250823_20251023","0","0","0","0","0","0","0","https://www.quantconnect.com/project/30609547/686039e248c9456bfe7b3cfccad2ae29","ictseq_pdh_2r_20250823_20251023.txt"
"PDH short 2R","20251023_20251223","1","0.13","8","3","5","0","4","https://www.quantconnect.com/project/30609547/1673804317ed379cacb5dd3bd0b24ed8","ictseq_pdh_2r_20251023_20251223.txt"
"PDH short 2R","20251223_20260223","-1.8","-0.45","4","0","3","1","2","https://www.quantconnect.com/project/30609547/0b6e264f3ae8ff0b822decd78d2898e0","ictseq_pdh_2r_20251223_20260223.txt"
"PDH short 2R","20260223_20260423","1","0.2","5","2","3","0","2","https://www.quantconnect.com/project/30609547/4df5c11bc7defb4fe4a7a3853af7dc80","ictseq_pdh_2r_20260223_20260423.txt"
