"Name","NetR","MonthlyR","AvgR","Trades","TradesPerMonth","Wins","Stops","Timeouts","Touch1R","BacktestId"
"LSR_pdl_t1p5_5y","6.85","0.11","0.02","294","4.9","116","169","9","169","331014d1ad2e8e7b4d99d140384c9cfe"
"LSR_pdl_t2p0_5y","-8.35","-0.14","-0.03","294","4.9","90","192","12","169","6a385a131adad0ec6a822135d7faa3f2"
"LSR_pdh_t2p0_5y","-9.15","-0.15","-0.03","331","5.5","105","222","4","179","4e57e2a641647f81c560afbc7d8c24a8"
"LSR smoke 1mo","-11","-0.18","-0.34","32","0.5","7","25","0","15","6c253f5851a2d9b873269a16b6c06993"
"LSR_pdh_t1p5_5y","-18.29","-0.3","-0.06","331","5.5","124","205","2","179","03939ef5f7361745b2adf5af27582c27"
"LSR_orh_t1p5_5y","-56.6","-0.94","-0.09","649","10.8","233","408","8","325","e5c12f44fc11839da32a65494cfbd9e7"
"LSR_orh_t2p0_5y","-60.6","-1.01","-0.09","649","10.8","187","444","18","325","5dc458dd6f3c46a0dfefe77f2be50743"
"LSR_orl_t1p5_5y","-67.95","-1.13","-0.11","636","10.6","222","404","10","323","3b5b765961d37103254c15d38256cd4d"
"LSR_orl_t2p0_5y","-78.43","-1.31","-0.12","636","10.6","177","441","18","323","68a7f55d760394d74087fe42c37aa5c5"
"LSR_pdh-pdl-orh-orl_t2p0_5y","-117.08","-1.95","-0.06","1833","30.6","548","1234","51","972","a5943f6ce4bcf72993da4fb15322aeeb"
"LSR_pdh-pdl-orh-orl_t1p5_5y","-119.34","-1.99","-0.06","1848","30.8","678","1142","28","973","e2a321080167e90c8c544d7ccfa52178"
