"variant","period","netR","monthlyR","avgR","trades","tradesPerMonth","wins","stops","timeouts","touch1R","backtestId"
"both_roommax1_range0p75_2p5_t1p5_hold24","2021_2022","16.54","1.38","0.25","65","5.4","17","17","31","31","23e972d48d44c8ca718f90d900a7742a"
"both_roommax1_range0p75_2p5_t1p5_hold24","2022_2023","6.09","0.51","0.1","64","5.3","13","22","29","26","f32efe001b01e9ecca6c9373c55ba0c1"
"both_roommax1_range0p75_2p5_t1p5_hold24","2023_2024","9.17","0.76","0.11","83","6.9","18","26","39","37","5726a94a98ba35bcc0dd4feaaaef2648"
"both_roommax1_range0p75_2p5_t1p5_hold24","2024_2025","22.42","1.87","0.25","89","7.4","24","26","39","43","e90652ca12e77144dd5c3ddb89e717a8"
"both_roommax1_range0p75_2p5_t1p5_hold24","2025_2026","11.32","0.94","0.17","67","5.6","17","22","28","27","8c1d8fb3a7877f34b8b0357585ac5e9d"
"short_roommax1_range0p75_2p0_t1p5_hold18","2021_2022","12.69","1.06","0.37","34","2.8","10","8","16","19","d8b9c7f2630b08b8e52b7e8cf4316703"
"short_roommax1_range0p75_2p0_t1p5_hold18","2022_2023","4.19","0.35","0.17","25","2.1","6","8","11","13","a9a031ab5ceae04aae0dcdec1a29c88f"
"short_roommax1_range0p75_2p0_t1p5_hold18","2023_2024","8.71","0.73","0.21","41","3.4","9","10","22","19","7eae1fddec905b25d2cf430792d321e7"
"short_roommax1_range0p75_2p0_t1p5_hold18","2024_2025","17.36","1.45","0.39","44","3.7","15","13","16","25","c2a6bbda661a2c11f946217bf9361b0c"
"short_roommax1_range0p75_2p0_t1p5_hold18","2025_2026","6.31","0.53","0.21","30","2.5","8","8","14","11","f87b2260d5028b2f627cd66fefd150c1"
