"variant","side","structure","roomMaxR","triggered","tradesPerMonth","win2R","stops","timeouts","touch1R","netR","avgR","armed","backtestId"
"long_orh_room_0p50_target_2p00_hold24_block13_5y","long","ORH","0.50","89","1.5","17","52","20","36","-3.96","-0.04","104","fb820245f264baa21cf8398716cfdef0"
"long_pdh_room_0p50_target_2p00_hold24_block13_5y","long","PDH","0.50","41","0.7","13","19","9","25","11.06","0.27","53","520f380830df81692361854a794a8f42"
"long_pdh_swing_h_room_0p50_target_2p00_hold24_block13_5y","long","PDH_SWING_H","0.50","323","5.4","98","150","75","177","87.84","0.27","382","59301efa5fbf438066b52467c4254943"
"long_swing_h_room_0p25_target_2p00_hold24_block13_5y","long","SWING_H","0.25","180","3.0","53","78","49","104","58.68","0.33","206","e30c8f6269c2751d9d159004fc0ed1e4"
"long_swing_h_room_0p50_target_2p00_hold24_block13_5y","long","SWING_H","0.50","287","4.8","84","132","71","157","76.11","0.27","334","8656f96c9bec6650d4fc406b6cdfd712"
"long_swing_h_room_1p00_target_2p00_hold24_block13_5y","long","SWING_H","1.00","397","6.6","112","197","88","205","72.27","0.18","468","dba8261f47ddabcb467eb6b22442cd13"
"long_swing_h_room_unbounded_target_2p00_hold24_block13_5y","long","SWING_H","-1","462","7.7","123","241","98","231","55.70","0.12","544","79a188e3b39c92ba5852a82d8a128536"
"short_orl_room_0p50_target_2p00_hold24_block13_short11_5y","short","ORL","0.50","55","0.9","14","27","14","27","10.14","0.18","63","097a24917f8dc01bf75c08d514ad1d5a"
"short_pdl_room_0p50_target_2p00_hold24_block13_short11_5y","short","PDL","0.50","30","0.5","9","17","4","15","3.81","0.13","35","f17b295ab9f07add91ab8b630a2fa03c"
"short_swing_l_room_0p50_target_2p00_hold24_block13_short11_5y","short","SWING_L","0.50","155","2.6","35","92","28","71","-11.57","-0.07","167","4828caa19f154031dfa6fa41746d9523"
